cp,artist,song,section
I-V-vi,aerosmith,cryin',verse
I-V-vi,daudre,sandstorm,chorus
I-V-vi,green day,basketcase,verse
I-V-vi,jack johnson,flake,chorus
I-V-vi,katy perry,firework,chorus
I-V-vi,mitch benn and the distractions,everything sounds like coldplay now,verse
I-V-vi,oasis,don't look back in anger,verse
I-V-vi,the beatles,i want to hold your hand,verse
I-V-vi,the beatles,let it be,verse
I-V-vi,vitamin c,friends forever,chorus
I-V-vi,the cars,just what i needed,verse
I-V-vi,of monsters and men,king and lionheart,chorus
I-V-vi,bonnie tyler,total eclipse of the heart,chorus
I-V-vi,lenka,trouble is a friend,chorus
I-V-vi,takahashi yu,genjitsu to iu na no kaibutsu to tatakau monotachi,chorus
I-V-vi,iron and wine,upward over the mountain,verse
I-V-vi,yasunori mitsuda,radical dreamers,verse
I-V-vi,pyotr ilyich tchaikovsky,russian dance 'trepak',verse
I-V-vi,chicane and ferry corsten,one thousand suns - soundprank remix,chorus
I-V-vi,one republic,i lived - arty remix,chorus
I-V-vi,takeo watanabe,mobile suit gundam - tobe gundam,chorus
I-V-vi,flo rida,who dat girl,chorus
I-V-vi,ges,nar vi graver guld i usa,chorus
I-V-vi,you don't know jack,question 5,chorus
I-V-vi,yoko takahashi,a cruel angel's thesis,verse
I-V-vi,one direction,heart attack ,chorus
I-V-vi,parry gripp,it's raining tacos,verse
I-V-vi,darude,sandstorm,chorus
I-V-vi,wolfgang amadeus mozart,der holle rache kocht in meinem herzen,chorus
I-V-vi,natalia nykiel,badz duzy,chorus
I-V-vi,fastball,out of my head,chorus
I-V-vi,jamie cullum,i'm all over it,verse
I-V-vi,electric light orchestria,rockaria,verse
I-V-vi,hyper potions subtact,adventure,chorus
I-V-vi,elle king,ex's and oh's,chorus
I-V-vi,the all-american rejects,night drive,chorus
I-V-vi,rob gasser,until next time feat auvic,chorus
I-V-vi,namco,new rally-x theme,verse
I-V-vi,thrice,doublespeak,chorus
I-V-vi,saves the day,deranged and desperate,chorus
I-V-vi,shiny toy guns,you are the one,chorus
I-V-vi,gojimaji-p,mischievous function - ochame kinou,verse
I-V-vi,gojimaji-p,mischievous function - ochame kinou,chorus
I-V-IV,alice in chains,nutshell,verse
I-V-IV,elton john,tiny dancer,verse
I-V-IV,madonna,like a prayer,chorus
I-V-IV,red hot chili peppers,californication,verse
I-V-IV,the beatles,let it be,verse
I-V-IV,ehrencrona,this is so good,verse
I-V-IV,boston,more than a feeling,verse
I-V-IV,robin thicke,blurred lines,chorus
I-V-IV,robin thicke,blurred lines,verse
I-V-IV,the moody blues,tuesday afternoon,verse
I-V-IV,big star,september gurls,verse
I-V-IV,jimi hendrix,angel,verse
I-V-IV,bruno mars,locked out of heaven,chorus
I-V-IV,katy perry,firework,verse
I-V-IV,jay chou,chrysanthemum terrace,verse
I-V-IV,man man,gold teeth,chorus
I-V-IV,the white stripes,fell in love with a girl,verse
I-V-IV,lana del rey,florida kilos,verse
I-V-IV,alanis morissette,you oughta know,chorus
I-V-IV,sam smith,leave your lover,verse
I-V-IV,m3ox ft heidrun,beating of my heart - matisse and sadko remix,chorus
I-V-IV,calvin harris,we'll be coming back,verse
I-V-IV,rush,by-tor and the snow dog,verse
I-V-IV,nobuo uematsu,terra,verse
I-V-IV,weird al yankovic,hardware store,verse
I-V-IV,absynthe minded,end of the line,chorus
I-V-IV,magic,let your hair down,verse
I-V-IV,hellberg,i'm not over,chorus
I-V-IV,josh mancell,crash bandicoot warped medieval levels,verse
I-V-IV,deadmau5,october,chorus
I-V-IV,hixxy,sacrifice,chorus
I-V-IV,nick jonas,levels,chorus
I-V-IV,nintendo,tetris attack - water stage,verse
I-V-IV,shoji meguro,persona 4 - reach out to the truth,chorus
I-V-IV,bee gees,to love somebody,verse
I-V-IV,duran duran,hungry like the wolf,chorus
I-V-IV,sufjan stevens,casimir pulaski day,verse
I-V-IV,ween,happy colored marbles,chorus
I-V-IV,tim minchin,not perfect,verse
I-V-I,billy joel,she's always a woman,verse
I-V-I,creedence clearwater revival,have you ever seen the rain,verse
I-V-I,mitch benn,mitch benn's imagine,verse
I-V-I,the beatles,when i'm sixty-four,verse
I-V-I,scott joplin,the entertainer,verse
I-V-I,they might be giants,taste the fame,chorus
I-V-I,weird al yankovic,since you've been gone,chorus
I-V-I,disney,a whole new world,verse
I-V-I,bob marley,no woman no cry,chorus
I-V-I,soundprank,boundless energy,chorus
I-V-I,grant kirkhope,click clock wood,verse
I-V-I,tom jones,delilah,chorus
I-V-I,nintendo,kirby's adventure - grape garden,verse
I-V-I,jay-z and alicia keys,empire state of mind,chorus
I-V-I,black lace,hokey cokey,verse
I-V-I,the white stripes,little ghost,verse
I-V-I,jean jacques perrey,brazilian flower,chorus
I-V-I,creedence clearwater revival,hello mary lou,verse
I-V-I,petit milady,hinoito rinne no gemini,verse
I-V-I,louis armstrong,when the saints go marching in,chorus
I-V-I,blue swede,hooked on a feeling,verse
I-V-I,michael kiwanuka,bones,chorus
I-V-I,unknown,flea waltz,verse
I-V-I,u2,gone,chorus
I-V-I,nicki minaj,the night is still young,chorus
I-V-I,they might be giants,everything right is wrong again,chorus
I-V-I,simon and garfunkel,america,verse
I-V-I,bela fleck,big country,chorus
I-V-I,stevie wonder,for once in my life,verse
I-V-I,nintendo,tetris attack - water stage,verse
I-V-I,denis m hannigan,recess theme,chorus
I-V-I,brandi carlile,closer to you,verse
I-V-I,dooley wilson,as time goes by,verse
I-V-I,britt nicole,gold,verse
I-V-I,the gaslight anthem,blue dahlia,chorus
I-V-I,commodores,sail on,chorus
I-V-ii,the beatles,with a little help from my friends,verse
I-V-ii,scorpions,wind of change,chorus
I-V-ii,tristam,my friend,chorus
I-V-ii,the downtown fiction,i just wanna run,chorus
I-V-ii,say anything,alive with the glory of love,verse
I-IV-I,julia howe,battle hymm of the republic,chorus
I-IV-I,julia howe,battle hymm of the republic,verse
I-IV-I,plain white t's,rhythm of love,chorus
I-IV-I,the beatles,a hard day's night,verse
I-IV-I,van morrison,brown eyed girl,verse
I-IV-I,woody guthrie,this land is your land,verse
I-IV-I,keiichi oku,paradise,chorus
I-IV-I,u2,i still haven't found what i'm looking for,verse
I-IV-I,sheena easton,what you are,verse
I-IV-I,the beatles,revolution,verse
I-IV-I,bamse,bamse,verse
I-IV-I,mord fustang,the electric dream,chorus
I-IV-I,lady gaga,you and i,verse
I-IV-I,nintendo - asuka ohta - ryo nagamatsu,mario kart wii - luigi circuit,verse
I-IV-I,andy clark,please don't shoot the trombone players,chorus
I-IV-I,elmer bernstein,the magnificent seven theme,verse
I-IV-I,game freak,coumarine city,chorus
I-IV-I,the quarrymen,in spite of all the danger,verse
I-IV-I,billy joel,the longest time,verse
I-IV-I,josh groban,o holy night,verse
I-IV-I,bent van looy,flowers and balloons,verse
I-IV-I,biffy clyro,god and satan,verse
I-IV-I,george ezra,budapest,verse
I-IV-I,spongebob squarepants,the fun song,chorus
I-IV-I,elliott smith,a fond farewell,verse
I-IV-I,jackson 5,rockin robin,chorus
I-IV-I,wiz khalifa ft charlie puth,see you again,verse
I-IV-I,animusic,harmonic voltage,verse
I-IV-I,bela fleck,big country,chorus
I-IV-I,spongebob squarepants,campfire song song,chorus
I-IV-I,animation domination high-def,the singularity song,chorus
I-IV-I,bahamas,lost in the light,chorus
I-IV-I,weird al yankovic,the night santa went crazy,chorus
I-IV-I,james lord pierpont,jingle bells,chorus
I-IV-I,lush and simon,in my hands,chorus
I-IV-I,david bowie,space oddity,chorus
I-IV-I,syd matters,obstacles,chorus
I-IV-I,neil sedaka,calendar girl,chorus
I-IV-I,elvis presley,don't be cruel,verse
I-IV-I,sega,sonic battle - emerald town,verse
I-IV-I,animal collective,brother sport,chorus
I-IV-I,marvin gaye and tammi terrell,ain't nothing like the real thing,verse
I-IV-I,98 degrees,the hardest thing,chorus
I-IV-V,diana ross,if we hold on together,verse
I-IV-V,the beatles,twist and shout,chorus
I-IV-V,prototyperaptor,mode 7,chorus
I-IV-V,choucho,yasashisa no riyuu-hyouka-op,chorus
I-IV-V,game freak,route 216,chorus
I-IV-V,hideki takahagi and mitsuhito tanaka,the jetsons snes - stage 1,chorus
I-IV-V,okazaki ritsuko,for fruits basket,verse
I-IV-V,deadmau5,brazil,chorus
I-IV-V,violens,all night low,verse
I-IV-V,the rembrants,i'll be there for you,chorus
I-IV-V,disney,i'll make a man out of you,chorus
I-IV-V,unknown,flea waltz,verse
I-IV-V,game freak,contest assembly hall,verse
I-IV-V,obadiah parker,hey ya,chorus
I-IV-V,sega,sonic - his world,chorus
I-IV-V,wavves,that's on me,verse
I-IV-V,rudimental,lay it all on me,chorus
I-IV-V,coldplay,a head full of dreams,verse
I-IV-V,coldplay,a head full of dreams,verse
I-IV-V,satoshi iwase,danganronpa - saisei,chorus
I-IV-V,donna lewis,i love you always forever,verse
I-IV-vi,regina spektor,eet,verse
I-IV-vi,blind guardian,the lord of the rings,verse
I-IV-vi,nick cannon,looking for a dream,chorus
I-IV-vi,yevgueni,welkenraedt,chorus
I-IV-vi,david wise,in a snow-bound land,verse
I-IV-vi,shinedown,45,verse
I-IV-vi,modest mouse,ocean breathes salty,verse
I-IV-vi,bloc party,banquet,verse
I-IV-vi,covesthur,dayresponse,chorus
I-vi-IV,coldplay,viva la vida,verse
I-vi-IV,fun,we are young,chorus
I-vi-IV,lindsey stirling,song of the caged bird,verse
I-vi-IV,o-town,all or nothing,verse
I-vi-IV,they might be giants,taste the fame,chorus
I-vi-IV,buddy holly,everyday,verse
I-vi-IV,elliott smith,miss misery,chorus
I-vi-IV,jan and dean,dead man's curve,chorus
I-vi-IV,emiko shiratori,melodies of life - ffix,verse
I-vi-IV,pomplamoose,bust your knee caps,verse
I-vi-IV,fall out boy,america's suitehearts,chorus
I-vi-IV,the temper trap,sweet disposition,chorus
I-vi-IV,the zombies,hung up on a dream,verse
I-vi-IV,angelo badalamenti,laura palmer's theme,chorus
I-vi-IV,elliott smith,the biggest lie,verse
I-vi-IV,henry carey,god save the queen,verse
I-vi-IV,loverboy,working for the weekend,verse
I-vi-IV,jason derulo,want to want me,chorus
I-vi-IV,serge gainsbourg,je t'aime - moi non plus,chorus
I-vi-IV,richard dybeck,du gamla du fria - national anthem of sweden,verse
I-vi-IV,the drifters,up on the roof,verse
I-vi-IV,fire when ready,we all need reminders,verse
I-vi-IV,panic at the disco,new perspective,chorus
I-vi-IV,eisley,lost at sea,chorus
I-vi-IV,crowded house,don't dream it's over,verse
I-vi-IV,xi,freedom dive,verse
I-vi-IV,weezer,i want you to,verse
I-vi-V,the lumineers,ho hey,verse
I-vi-V,the lumineers,ho hey,verse
I-vi-V,outkast,roses,verse
I-vi-V,outkast,roses,chorus
I-vi-V,blondie,heart of glass,chorus
I-vi-V,tism,everyone else has had more sex than me,verse
I-vi-V,john lennon,jealous guy,verse
I-vi-V,yevgueni,welkenraedt,chorus
I-vi-V,brand new,failure by design,verse
I-vi-V,soko,we might be dead by tomorrow,verse
I-vi-V,d-nox and beckers,the cave - original mix,verse
I-vi-V,fifth harmony,worth it,chorus
I-vi-I,brand new,failure by design,verse
I-vi-I,nobuo uematsu,kefka's theme,chorus
I-vi-I,say anything,shiksa,verse
I-vi-ii,olly murs feat flo rida,troublemaker,chorus
I-vi-ii,camille saint-saens,organ symphony no 3 op 78 - if i had words,chorus
I-vi-ii,lily allen,fuck you,verse
I-vi-ii,disney,reflection,verse
I-vi-ii,carmen twillie,circle of life,verse
I-vi-ii,tomohito nishiura,more london streets,chorus
I-vi-ii,the living end,who's gonna save us,chorus
I-vi-ii,richard dybeck,du gamla du fria - national anthem of sweden,verse
I-vi-ii,phoenix,1901,verse
I-vi-ii,weezer,falling for you,verse
I-vi-ii,toby fox,determination,verse
I-vi-ii,toby fox,determination,chorus
I-vi-ii,guster,barrel of a gun,verse
I-vi-ii,demi lovato,stone cold,chorus
I-vi-iii,311,amber,chorus
I-vi-iii,matt ''norrin radd'' creamer,anomaly - becoming superluminal,chorus
I-vi-iii,pinback,crutch,verse
I-vi-iii,pink guy,fuck the police,chorus
I-ii-vi,black eyed peas,just can't get enough,chorus
I-ii-vi,rihanna,stay,verse
I-ii-vi,sia,soon we'll be found,chorus
I-ii-vi,steve angello,slvr,chorus
I-ii-vi,lucas nord,close to you,chorus
I-ii-vi,syn cole,miami 82 - avicii edit,chorus
I-ii-vi,fall of troy,fcpremix,chorus
I-ii-vi,hozier,take me to church,chorus
I-ii-vi,transatlantic,we all need some light,chorus
I-ii-vi,sam brown,stop,verse
I-ii-vi,say anything,every man has a molly,chorus
I-ii-vi,girls' generation,lion heart,chorus
I-ii-vi,vandenberg,burning heart,verse
I-ii-vi,danny mccarthy,silver scrapes - protoshredanoid remix,chorus
I-ii-vi,jake kaufman,strike the earth,chorus
I-ii-IV,kurt vile,jesus fever,verse
I-ii-IV,wet wet wet,love is all around,verse
I-ii-IV,greg cerrone and koko laroo,rise together - inpetto remix,chorus
I-ii-IV,lily allen,sheezus,verse
I-ii-IV,matt ''norrin radd'' creamer,anomaly - becoming superluminal,chorus
I-ii-IV,horimitsu kazumichi,come here daitarn 3,chorus
I-ii-IV,death cab for cutie,the sound of settling,chorus
I-ii-IV,simon and garfunkel,scarborough fair - canticle,verse
I-ii-IV,wilco,elt,chorus
I-ii-iii,pink floyd,in the flesh,chorus
I-ii-iii,pink floyd,in the flesh,verse
I-ii-iii,train,drive by,chorus
I-ii-iii,the beatles,if i fell,verse
I-ii-iii,jeff buckley,i shall be released,chorus
I-ii-iii,kylie minogue,come into my world,verse
I-ii-iii,no doubt,spiderwebs,verse
I-ii-iii,nathan ford,for better or worse - ending,chorus
I-ii-iii,the beatles,i'm only sleeping,verse
I-ii-iii,yes,i've seen all good people,verse
I-ii-I,frog fractions soundtrack,rimushotto bungie jump,verse
I-ii-I,ola,i'm in love,verse
I-ii-I,ola,i'm in love,chorus
I-ii-I,ingrid michaelson,you and i,chorus
I-ii-I,bonnie tyler,total eclipse of the heart,verse
I-ii-I,olivia newton-john,twist of fate,chorus
I-ii-I,wavves,way too much,verse
I-ii-I,bubbles and the shitrockers,liquor and whores,chorus
I-ii-I,les miserables,on my own,verse
I-ii-V,the beatles,ticket to ride,verse
I-ii-V,tim mcgraw,where the green grass grows,verse
I-ii-V,kurt vile,kv crimes,verse
I-ii-V,chris tomlin,our god,verse
I-ii-V,dead or alive,you spin me round -like a record-,chorus
I-ii-V,enya,may it be,verse
I-ii-V,game freak,vs brendan and may,verse
I-ii-V,lunchmoney lewis,bills,chorus
I-ii-V,boston,peace of mind,chorus
I-ii-V,famicomforever,tame trip,verse
I-ii-V,tally hall,good day,chorus
I-ii-V,wilco,she's a jar,chorus
I-ii-V,elton john,daniel,verse
I-ii-V,love,old man,verse
I-ii-16,jerry goldsmith,star trek main theme,verse
I-ii-16,queen,don't stop me now,chorus
I-ii-16,sebastian ingrosso and tommy trash,reload,chorus
I-ii-16,lily allen,smile,chorus
I-ii-16,rich curtis,latitude end - andre sobota remix,chorus
I-ii-16,sebastian ingrosso and tommy trash,reload,verse
I-ii-16,america,a horse with no name,chorus
I-ii-16,marvin gaye and tammi terrell,ain't nothing like the real thing,verse
IV-I-V,counting crows,walkaways,verse
IV-I-V,death cab for cutie,i will follow you into the dark,verse
IV-I-V,journey,don't stop believing,verse
IV-I-V,nickelback,photograph,verse
IV-I-V,owl city featuring carly rae jepsen,good time,verse
IV-I-V,tlc,waterfalls,chorus
IV-I-V,tlc,waterfalls,verse
IV-I-V,lil wayne,lollipop,verse
IV-I-V,nicki minaj,young forever,chorus
IV-I-V,lifehouse,halfway gone,chorus
IV-I-V,jimi hendrix,hey joe,verse
IV-I-V,katy perry,thinking of you,verse
IV-I-V,tenacious d,karate,verse
IV-I-V,coldplay,paradise,verse
IV-I-V,beyonce ,rise up,verse
IV-I-V,beyonce,rise up,chorus
IV-I-V,sufjan stevens,chicago,verse
IV-I-V,rihanna,take a bow,chorus
IV-I-V,johnny cash,hurt,chorus
IV-I-V,kurt vile,jesus fever,verse
IV-I-V,u2,yahweh,verse
IV-I-V,disney,a whole new world,verse
IV-I-V,peter frampton,baby i love your way,chorus
IV-I-V,virgin america,vxsafetydance,chorus
IV-I-V,u2,with or without you,verse
IV-I-V,coldplay,amsterdam,verse
IV-I-V,hinder,lips of an angel,chorus
IV-I-V,gamma ray,lake of tears,chorus
IV-I-V,veggie tales,his cheeseburger,verse
IV-I-V,east and young,starting again,chorus
IV-I-V,sam smith,stay with me,chorus
IV-I-V,jack white,love interruption,chorus
IV-I-V,the beatles,you've got to hide your love away,verse
IV-I-V,rush,fly by night,chorus
IV-I-V,spice girls,wannabe,chorus
IV-I-V,spice girls,wannabe,verse
IV-I-V,sick individuals,wasting moonlight,chorus
