cp,artist,song,section
III-VII-i,aerosmith,cryin',verse
III-VII-i,daudre,sandstorm,chorus
III-VII-i,green day,basketcase,verse
III-VII-i,jack johnson,flake,chorus
III-VII-i,katy perry,firework,chorus
III-VII-i,mitch benn and the distractions,everything sounds like coldplay now,verse
III-VII-i,oasis,don't look back in anger,verse
III-VII-i,the beatles,i want to hold your hand,verse
III-VII-i,the beatles,let it be,verse
III-VII-i,vitamin c,friends forever,chorus
III-VII-i,the cars,just what i needed,verse
III-VII-i,of monsters and men,king and lionheart,chorus
III-VII-i,bonnie tyler,total eclipse of the heart,chorus
III-VII-i,lenka,trouble is a friend,chorus
III-VII-i,takahashi yu,genjitsu to iu na no kaibutsu to tatakau monotachi,chorus
III-VII-i,iron and wine,upward over the mountain,verse
III-VII-i,yasunori mitsuda,radical dreamers,verse
III-VII-i,pyotr ilyich tchaikovsky,russian dance 'trepak',verse
III-VII-i,chicane and ferry corsten,one thousand suns - soundprank remix,chorus
III-VII-i,one republic,i lived - arty remix,chorus
III-VII-i,takeo watanabe,mobile suit gundam - tobe gundam,chorus
III-VII-i,flo rida,who dat girl,chorus
III-VII-i,ges,nar vi graver guld i usa,chorus
III-VII-i,you don't know jack,question 5,chorus
III-VII-i,yoko takahashi,a cruel angel's thesis,verse
III-VII-i,one direction,heart attack ,chorus
III-VII-i,parry gripp,it's raining tacos,verse
III-VII-i,darude,sandstorm,chorus
III-VII-i,wolfgang amadeus mozart,der holle rache kocht in meinem herzen,chorus
III-VII-i,natalia nykiel,badz duzy,chorus
III-VII-i,fastball,out of my head,chorus
III-VII-i,jamie cullum,i'm all over it,verse
III-VII-i,electric light orchestria,rockaria,verse
III-VII-i,hyper potions subtact,adventure,chorus
III-VII-i,elle king,ex's and oh's,chorus
III-VII-i,the all-american rejects,night drive,chorus
III-VII-i,rob gasser,until next time feat auvic,chorus
III-VII-i,namco,new rally-x theme,verse
III-VII-i,thrice,doublespeak,chorus
III-VII-i,saves the day,deranged and desperate,chorus
III-VII-i,shiny toy guns,you are the one,chorus
III-VII-i,gojimaji-p,mischievous function - ochame kinou,verse
III-VII-i,gojimaji-p,mischievous function - ochame kinou,chorus
III-VII-VI,alice in chains,nutshell,verse
III-VII-VI,elton john,tiny dancer,verse
III-VII-VI,madonna,like a prayer,chorus
III-VII-VI,red hot chili peppers,californication,verse
III-VII-VI,the beatles,let it be,verse
III-VII-VI,ehrencrona,this is so good,verse
III-VII-VI,boston,more than a feeling,verse
III-VII-VI,robin thicke,blurred lines,chorus
III-VII-VI,robin thicke,blurred lines,verse
III-VII-VI,the moody blues,tuesday afternoon,verse
III-VII-VI,big star,september gurls,verse
III-VII-VI,jimi hendrix,angel,verse
III-VII-VI,bruno mars,locked out of heaven,chorus
III-VII-VI,katy perry,firework,verse
III-VII-VI,jay chou,chrysanthemum terrace,verse
III-VII-VI,man man,gold teeth,chorus
III-VII-VI,the white stripes,fell in love with a girl,verse
III-VII-VI,lana del rey,florida kilos,verse
III-VII-VI,alanis morissette,you oughta know,chorus
III-VII-VI,sam smith,leave your lover,verse
III-VII-VI,m3ox ft heidrun,beating of my heart - matisse and sadko remix,chorus
III-VII-VI,calvin harris,we'll be coming back,verse
III-VII-VI,rush,by-tor and the snow dog,verse
III-VII-VI,nobuo uematsu,terra,verse
III-VII-VI,weird al yankovic,hardware store,verse
III-VII-VI,absynthe minded,end of the line,chorus
III-VII-VI,magic,let your hair down,verse
III-VII-VI,hellberg,i'm not over,chorus
